task_id,module,system,difficulty,law_version,noise,code_assisted,status,task_completed,run_experiment_calls,run_experiment_success_calls,evaluate_calls,evaluate_success_calls,has_final_law,protocol_core_ok,protocol_full_ok,l2_not_updated_warning,total_tokens,exact_accuracy,rmsle,symbolic_equivalent,evaluation_error,rounds_total,rounds_task_completed_true,rounds_task_completed_false,rounds_with_eval_success,round_best_rmsle,round_last_rmsle
nb_0001_m0_gravity_easy_vanilla_equation_v0_n0p0,m0_gravity,vanilla_equation,easy,v0,0.0,False,completed,True,1,1,2,2,True,True,True,True,20036,1.0,0.0,True,,3,0,3,3,0.46127428841652013,20.680133749012413
nb_0002_m0_gravity_easy_simple_system_v0_n0p0,m0_gravity,simple_system,easy,v0,0.0,False,completed,True,2,2,1,1,True,True,True,True,23260,1.0,5.7586169255541735e-06,True,,3,0,3,3,0.46127428841652013,20.680133749012413
nb_0003_m0_gravity_easy_complex_system_v0_n0p0,m0_gravity,complex_system,easy,v0,0.0,False,completed,False,1,1,1,1,True,False,False,True,27658,1.0,0.4578321954003698,True,,3,0,3,3,0.46127428841652013,20.680133749012413
nb_0004_m10_be_distribution_easy_vanilla_equation_v0_n0p0,m10_be_distribution,vanilla_equation,easy,v0,0.0,False,completed,False,2,2,1,1,False,False,False,True,14700,1.0,0.00018243381947012126,True,,3,0,3,3,0.46127428841652013,20.680133749012413
nb_0005_m10_be_distribution_easy_simple_system_v0_n0p0,m10_be_distribution,simple_system,easy,v0,0.0,False,completed,True,2,2,2,2,True,True,True,True,22513,1.0,1.966405745041814e-07,True,,3,0,3,3,0.46127428841652013,20.680133749012413
nb_0006_m10_be_distribution_easy_complex_system_v0_n0p0,m10_be_distribution,complex_system,easy,v0,0.0,False,completed,False,1,1,1,1,False,False,False,True,9873,1.0,1.9422075314641677e-07,True,,3,0,3,3,0.46127428841652013,20.680133749012413
nb_0007_m11_heat_transfer_easy_vanilla_equation_v0_n0p0,m11_heat_transfer,vanilla_equation,easy,v0,0.0,False,completed,True,2,2,1,1,True,True,True,True,32515,1.0,0.0,True,,3,0,3,3,0.46127428841652013,20.680133749012413
nb_0008_m11_heat_transfer_easy_simple_system_v0_n0p0,m11_heat_transfer,simple_system,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,36021,1.0,0.0,True,,3,0,3,3,0.46127428841652013,20.680133749012413
nb_0009_m11_heat_transfer_easy_complex_system_v0_n0p0,m11_heat_transfer,complex_system,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,21757,1.0,0.0,True,,3,0,3,3,0.46127428841652013,20.680133749012413
nb_0010_m1_coulomb_force_easy_vanilla_equation_v0_n0p0,m1_coulomb_force,vanilla_equation,easy,v0,0.0,False,completed,True,1,1,1,1,True,True,True,True,21373,1.0,0.0,True,,3,0,3,3,0.46127428841652013,20.680133749012413
nb_0011_m1_coulomb_force_easy_simple_system_v0_n0p0,m1_coulomb_force,simple_system,easy,v0,0.0,False,completed,False,1,1,1,1,False,False,False,True,10369,1.0,0.46579769152782396,True,,3,0,3,3,0.46127428841652013,20.680133749012413
nb_0012_m1_coulomb_force_easy_complex_system_v0_n0p0,m1_coulomb_force,complex_system,easy,v0,0.0,False,completed,False,2,2,2,2,False,False,False,True,27399,1.0,20.680133749012413,True,,3,0,3,3,0.46127428841652013,20.680133749012413
