Complexity,Loss,Equation
1,0.024357309119615457,"0.025598515237983344"
3,0.012568440383281827,"omega * 9.734348071131999e-14"
5,0.007696915911413896,"(omega * 4.548482912883657e-17) * T"
7,0.0006789336072484221,"((T + -1939.5606354944546) * omega) * 1.8331463785631054e-16"
9,0.00025428413255486343,"(((T + -1954.6688419647865) * omega) * T) * 6.311083014545934e-20"
11,8.579349099363284e-6,"((omega * T) * (T + -1965.0995250589044)) * (omega * 1.287897296901224e-32)"
13,5.701133531945713e-7,"((((T * 6.388835004596036e-10) + -1.263102158841273e-6) * (omega * omega)) * omega) * 1.2240538357636787e-32"
15,5.701067367822071e-7,"omega * (omega * ((omega * 8.320345699642766e-32) * ((T + -1.8581898027365142e-7) + (T * -0.9999999999060115))))"
17,5.651499602755187e-7,"(T + ((T * -0.9999999995802373) + -8.29889966841868e-7)) * (((omega * 1.8631340546091145e-32) * (omega * omega)) + -140.8730194056988)"
19,4.976628575259173e-7,"((T * -0.9999999996513742) + (T + -6.892521006622431e-7)) * ((omega * ((omega * omega) * 2.2459952855241598e-32)) + (T * -1.1669355313617285))"
