Complexity,Loss,Equation
1,0.047374214675458506,"0.053218538960015785"
3,0.00801933675196344,"T * 8.17469803550208e-9"
5,0.0016283607168558454,"(T * T) * 9.562004113256583e-17"
7,0.00018170668072647596,"(T * 9.925226504198471e-25) * (T * T)"
9,1.534269948668037e-7,"((T * T) * 1.0000392112115062e-32) * (T * T)"
11,9.118071193372674e-9,"T * (((T * (T * T)) * 9.961887175962953e-33) + 3.808263369621084e-11)"
13,8.38112155438749e-9,"(((T * ((T * T) * 9.961887175962953e-33)) + 3.846111579838648e-11) * T) + -2.8764259372819898e-5"
15,8.381090858475512e-9,"(((((T + 5.341346363282741) * T) * (T * 9.961887175962953e-33)) + 3.846065729057966e-11) * T) + -2.8763446740093763e-5"
16,8.380944382909522e-9,"(T * (((T + log(omega)) * ((T * 9.961887175962953e-33) * T)) + 3.8458351791246336e-11)) + -2.8759335933428536e-5"
17,8.380000014119958e-9,"-2.874864016339624e-5 + (((((T + exp(exp(1.675477750384118))) * (T * T)) * 9.961887175962953e-33) + 3.845260517888136e-11) * T)"
18,8.369053141600148e-9,"((((T * T) * (T * 9.961887175962953e-33)) + 3.84608559588416e-11) * (exp(1.1682282581830314 / omega) + T)) + -2.8763915232013985e-5"
19,8.344096042544e-9,"((((T * ((T * 9.961887175962953e-33) * T)) + 3.835494990512419e-11) * T) + -3.054375653062777e-5) + (0.0015090217493561766 / (T * omega))"
20,8.337513982276758e-9,"(((((T * (T * 9.961887175962953e-33)) * T) + 3.835494990512419e-11) * T) + -3.054375653062777e-5) + (0.0015090217493561766 / (T * sqrt(omega)))"
