Complexity,Loss,Equation
1,0.03221219042401899,"0.035479025927694315"
3,0.005346224506451251,"T * 8.174698034006657e-9"
5,0.0010855738112372302,"T * (T * 9.562004116702525e-17)"
7,0.00012113778746677575,"((T * T) * T) * 9.925257041037159e-25"
9,1.0212083248542585e-7,"((T * (T * 1.0001090814001867e-32)) * T) * T"
11,8.66543574616723e-8,"T * ((((T * T) * T) * 1.0001090814001867e-32) + 6.062101898133455e-12)"
13,7.991341507414398e-12,"(T * T) * ((-0.0001451154748552952 - (T * 5.027288056470305e-11)) * (T * -1.9333371932335497e-22))"
15,7.544247110331119e-12,"((T * ((T * (4.785994010572216e-6 - (T * -1.6474294679502134e-12))) - 1.0000118264185527)) * T) * 5.899045901608943e-21"
18,6.290109943500552e-12,"((omega * log(omega)) - (((4.784817261408369e-6 - (T * -1.6497833110152625e-12)) * (T * T)) * T)) * -5.8906718566454434e-21"
20,4.819055409783521e-12,"((log(omega) * (omega + omega)) - ((4.8069041031972924e-6 - (T * -1.6495946758667537e-12)) * ((T * T) * T))) * -5.8906718566454434e-21"
