Complexity,Loss,Equation
1,0.032052962995394244,"0.04388362559749348"
3,0.01479778427700038,"omega * 6.9042304284652795e-15"
5,0.014796200626419077,"(omega * 1.0000000000000069) - omega"
6,0.0035371812533597745,"omega * (1.0294067473257038e-13 / log(T))"
8,0.0030839839885830754,"(omega * 8.094807022885378e-14) / log(T * 0.19651196838803134)"
10,0.0008476406870374047,"(omega / ((omega * -8.017428861342864e-14) + log(T))) * 4.472867054993002e-14"
12,0.0003150849579463876,"3.058448529998977e-14 * (omega / ((log(T) + (omega * -1.624713842207484e-13)) + 3.4642732149222626))"
14,0.00031253933398097636,"(3.058448529998977e-14 / ((log(T + -2.0422281613197475) + 3.4642732149222626) + (-1.624713842207484e-13 * omega))) * omega"
16,0.00030793351415935445,"(3.058448529998977e-14 * (omega / ((log(-1.5949990844992037 + T) + (omega * -1.624713842207484e-13)) + 3.4642732149222626))) + -0.0022170542472046474"
17,0.0003058411452581389,"omega * (3.058448529998977e-14 / ((log(T + (-1.5949990844992037 / log(1.1730897265376807))) + (omega * -1.624713842207484e-13)) + 3.4642732149222626))"
19,0.00030584114525813506,"(3.058448529998977e-14 / (log(T + (-1.5949990844992037 / log(1.1730897265376807))) + (((omega - -0.6054312349292499) * -1.624713842207484e-13) + 3.4642732149222626))) * omega"
