Complexity,Loss,Equation
1,0.025692830315693433,"0.03474193534912504"
3,0.011740898757823819,"omega * 6.892403625193045e-15"
5,0.011740889449166418,"6.8927022237298596e-15 * (omega - T)"
6,0.0029318950079410266,"omega * (1.0237819438030618e-13 / log(T))"
8,0.0021961206673809627,"(omega * 4.08150458930571e-14) / sqrt(sqrt(sqrt(T)))"
9,0.0021839051339450685,"(omega * 4.99143734092867e-13) / (sqrt(sqrt(T)) + 21.797901187095523)"
10,0.001563859994066199,"(omega / sqrt(sqrt(sqrt(T / omega)))) * 8.015439910609892e-16"
12,0.0013411653495759585,"((omega * 8.44132987630237e-16) + -0.0018359080946703445) / sqrt(sqrt(sqrt(T / omega)))"
14,0.0009803202181342609,"((1.6816256990065517e-17 * omega) - 6.039940796061264e-5) / sqrt(sqrt(sqrt((T / omega) / omega)))"
16,0.0009803202168257362,"((omega * 1.6816256990065517e-17) - 6.039940796061264e-5) / sqrt(sqrt(sqrt((T / (omega + -0.04052577146826364)) / omega)))"
20,0.0009801028130631626,"((omega * 1.6816256990065517e-17) - 6.039940796061264e-5) / sqrt(sqrt(sqrt(((T / omega) + ((1.6816256990065517e-17 / -0.29941102937642394) * T)) / omega)))"
