Complexity,Loss,Equation
1,0.0890292838564738,"0.10682654214034865"
3,0.013438312629875045,"T * 1.6944426099436295e-6"
5,0.001005649280768242,"T * (T * 3.935334008085957e-12)"
7,4.56643446111208e-6,"(T * (T * T)) * 8.000817655838105e-18"
9,4.293321775157337e-6,"(T * (T * (T * 8.005566342589088e-18))) + -0.0005554220842967548"
10,1.4033238329332637e-6,"(sqrt(T) * T) * ((T * 6.927621059679755e-15) - 6.355500711333676e-10)"
12,1.0472565576389877e-6,"((((T * 6.958772933562323e-15) - 6.531305935955369e-10) * sqrt(T)) * T) + 0.0007305866352608998"
13,2.3253659139499583e-7,"(T * T) * ((8.213723353655049e-14 - (2.113227415036663e-12 / log(omega))) * sqrt(T))"
15,2.3251103437393927e-7,"sqrt(T) * (((T + 3.728500318223265) * (8.213722679381523e-14 - (2.1132274461651087e-12 / log(omega)))) * T)"
16,1.8219012249877422e-7,"(sqrt(T) + log(omega)) * (T * (T * (8.142002341883547e-14 - (2.0992900833979092e-12 / log(omega)))))"
18,1.8218902857934924e-7,"(log(omega) + sqrt(T)) * (((1.0957905650238846 + T) * T) * (8.142002341883547e-14 - (2.0992900833979092e-12 / log(omega))))"
