Complexity,Loss,Equation
1,0.057794607265113644,"0.07268252696301641"
3,0.02992570763794933,"T * 1.6839507666049107e-6"
5,0.029871291684417246,"0.007911483883683016 - (T * -1.6575061452190251e-6)"
6,0.029568965384304313,"(T * 2.1701156469294723e-5) / log(T)"
7,0.027997944651005174,"T * (2.155150277779853e-6 - (T / omega))"
9,0.01734572085419181,"T * (7.588364755115922e-6 - ((T * 12.530602930389092) / omega))"
11,0.016830028549600556,"-0.0252310717904918 + (T * (7.996192042658969e-6 - ((T / omega) / 0.07565939460083225)))"
13,0.016829962094774033,"-0.0252310717904918 + (T * (7.996192042658969e-6 - (((1.5015858284544297 + T) / omega) / 0.07565939460083225)))"
14,0.012578435584854608,"(1.0031848738367037e-5 - (((T / omega) + (0.13011365606298783 / sqrt(omega))) / 0.07390481797894691)) * T"
16,0.012426185583618408,"((1.0020224891175376e-5 - (((0.14659219720923142 / sqrt(omega)) + (T / omega)) / 0.075744919842993)) * T) - -0.015680850624973704"
18,0.012425275778608516,"((T - 1.9387750066624267) * (1.002049012918514e-5 - (((T / omega) + (0.14650515527229027 / sqrt(omega))) / 0.07573435680623132))) - -0.015595524845629712"
19,0.012418095681832324,"((1.0020224891175376e-5 - (((0.14659219720923142 / sqrt(omega)) + (T / omega)) / 0.075744919842993)) * (T - log(omega))) - -0.015680850624973704"
