Complexity,Loss,Equation
1,0.01304473235833128,"0.015472356449264563"
4,0.012676628034275831,"log(omega) * 0.001239703719208687"
6,0.0124440872427647,"sqrt(sqrt(sqrt(omega))) * 0.0010353555639765477"
7,0.011311140408955766,"-1.0050974698786337e-10 / ((-19511.869615611166 / omega) + -6.003439557930579e-10)"
9,0.0004326400751271922,"2.0288179186951593e-21 / ((-2.99092010046832e-6 / omega) - (T * -1.9328424804638902e-22))"
11,0.0004303596526359088,"3.2510265425354675e-20 / (((-2.9973637493018508e-6 / omega) - (T * -1.9328424804638902e-22)) / 0.058484170666937146)"
13,0.0004303596440008403,"3.2510265425354675e-20 / (((-2.9973637493018508e-6 / omega) - ((-2.9973637493018508e-6 + T) * -1.9328424804638902e-22)) / 0.058484170666937146)"
15,0.00042684110425347257,"omega * (-2.565062590588415e-21 / (omega * (((-1.1335232898521853e-5 / omega) - (T * -7.243973602680177e-22)) * -0.5029000466584845)))"
17,0.00042558367736058363,"omega * ((-2.2236513366654197e-21 / (omega * (((-1.1368953247687903e-5 / omega) - (T * -7.243973602680177e-22)) * -0.5029000466564535))) + -2.699276086470688e-20)"
19,0.0004254434578761523,"omega * ((2.250417429759434e-21 / (((omega * ((-1.1367470167766322e-5 / omega) - (T * -7.243973602680177e-22))) * 0.5906437188232586) / 1.169399789223553)) + -2.716763228739602e-20)"
