Complexity,Loss,Equation
1,0.022508961247861062,"0.02892025551122046"
3,0.004011263522687649,"omega * 7.636067928006504e-13"
5,0.0007143804278131983,"omega * (omega * 9.61862835325323e-25)"
7,0.0004527233183757919,"omega * ((omega * 1.2984108246605129e-24) + -3.0240546360659174e-13)"
9,0.00045114519065672057,"(((omega * 1.2984108246605129e-24) + -3.044063351106188e-13) * omega) - -0.0013080038272226772"
10,0.00043240143958872367,"((omega * 1.80322309733948e-24) + (sqrt(omega) * -8.037478860911466e-19)) * omega"
11,0.00013268034360925434,"omega * ((omega * 2.1263181350688797e-24) + ((T * -5.978359171250469e-18) + -5.397274281627357e-13))"
13,8.997370329461649e-5,"((T * -1.9219412877575512e-6) + (omega * ((8.695585498252346e-25 * omega) + -1.4470003797936608e-13))) * 1.8631491513551457"
15,7.87475267556532e-5,"((T * -1.9322886350503647e-6) + ((omega * ((omega * 8.695585498252346e-25) + -1.5145395275460278e-13)) + 0.001892943302681846)) * 1.8869455816744685"
16,1.1075217667190883e-5,"omega * (((omega * 4.780690209764156e-24) + ((T + (sqrt(omega) + T)) * -3.863908625804662e-18)) + 8.583134745464747e-13)"
18,1.107517051215742e-5,"((((omega - T) * 4.780690209764156e-24) + (((T + T) + sqrt(omega)) * -3.863908625804662e-18)) + 8.583138291550632e-13) * omega"
