Complexity,Loss,Equation
1,0.018612187335416367,"0.02375592316091974"
3,0.0032949664650648554,"omega * 7.636067921351864e-13"
5,0.0005876256150361343,"(omega * omega) / 1.0465709279761573e24"
7,0.0005808486222308514,"-0.002442104079680263 - (omega * (omega / -1.039645157221806e24))"
8,0.0003572824514863756,"(omega / 1.0040920536611021e30) * (omega * sqrt(omega))"
10,0.0003557753974653437,"sqrt(omega) * ((omega * (omega / 1.0040920536611021e30)) + -6.014263331529204e-9)"
12,0.0003521082947848239,"omega / (-6.369757839977135e16 / (omega * ((sqrt(omega) * -7.44405373395276e-14) + 1.0740401128414654e-8)))"
14,0.00021561702473665002,"(((omega * 2.882436005989741e-7) - T) * sqrt(omega)) / (1848.0010772079038 / (omega * 9.626033465120851e-21))"
16,0.000208604054754043,"((2.424375015901257e-7 * omega) - T) * ((T + sqrt(omega)) / (2562.657809288391 / (omega * 1.5677158457216927e-20)))"
19,8.925683676101054e-5,"(T * ((-6.291423882743758e-6 - T) - (-1.0000000000661338 / ((omega / T) / omega)))) - (omega * (omega / -1.039645157221806e24))"
