Complexity,Loss,Equation
1,0.015154976341704962,"0.018438586919032163"
3,0.007930443325564616,"omega * 4.231516474497012e-13"
5,0.007871796879907106,"(omega * 4.3470195998953257e-13) - 0.00801763782835218"
6,0.006788525422231229,"sqrt(omega) * (omega * 4.915314058052721e-19)"
7,0.004891147146175181,"(omega * 7.175935405833496e-13) - (T * 5.886772051497983e-6)"
9,0.0017116486339856622,"(((omega * 1.3000293377012571e-19) * omega) - T) * 7.247580285436085e-6"
11,0.0017110303043254825,"7.139107022712726e-6 * (7.139107022712726e-6 - (T + (omega * (-1.312376792883841e-19 * omega))))"
12,0.00171089616807314,"7.139107022712726e-6 * (log(T) - (T + (omega * (omega * -1.312376792883841e-19))))"
13,0.0015200789033903725,"(((omega * omega) * 1.764629714090546e-19) + ((omega * -3.84564384360886e-8) - T)) * 6.89818751728967e-6"
15,0.0015014980375368423,"(((omega * -4.605564209756787e-8) - (((omega * -1.831169761563026e-19) * omega) + T)) * 6.847079099801055e-6) - -0.006669321026038782"
