Complexity,Loss,Equation
1,0.012985250685708565,"0.018000382398402355"
3,0.007181034988067363,"omega * 3.5005410970197086e-13"
5,0.0058846541794881375,"omega * (omega * 4.301026766357581e-25)"
7,0.00554066313631091,"omega * (omega * (omega * 4.5328945303361284e-37))"
9,0.005538066362052843,"((omega * (omega * 4.5328945303361284e-37)) * omega) - 0.0016114509791078702"
11,0.0010380996756741356,"omega * (-3.5398663817271125e-14 / (sqrt(sqrt(T / 392.2635917303259)) + -2.282761071502651))"
13,0.0006253216096727732,"((omega / (-2.329405346200156 + sqrt(sqrt(T / 392.26365792787755)))) - omega) * -7.526625989653152e-14"
15,0.0004849077142640842,"((omega / (sqrt(sqrt(T / 392.2636276104315)) + -2.3070533000085267)) - (omega + omega)) * -5.293964028543021e-14"
16,0.0004749374514788606,"((omega / (sqrt(sqrt(T / 392.2636276104315)) + -2.3070533000085267)) - (omega / exp(-0.8165825855283916))) * -5.293964028543021e-14"
17,0.00046597849976061676,"((omega / (sqrt(sqrt(T / 392.26358660684366)) + -2.2923276964638517)) + ((1.3782211249422207 - omega) / 0.4063454630470264)) * -4.031682079971205e-14"
19,0.00046273045663698886,"(((omega + -2.2755799132920056) / (sqrt(sqrt(T / 392.26361695448844)) + -2.3032082270227767)) - ((omega + -2.2755799132919927) / 0.4165288519124399)) * -4.899275068837368e-14"
20,0.00043807172968175735,"(((omega / (sqrt(sqrt(T / 392.2636016689141)) + -2.2917452493666954)) + sqrt(omega)) - (omega + (omega + omega))) * -3.9026773425164025e-14"
