Complexity,Loss,Equation
1,0.013330898398379648,"0.013513516016074053"
3,0.00013932238987206797,"omega * 1.9793802807554836e-15"
5,1.353376836578223e-6,"(omega * 3.99959939979816e-30) * omega"
7,1.0581304759348158e-7,"omega * ((omega * 4.5209084837249896e-30) + -2.60023965416709e-16)"
8,7.814665918747688e-8,"log((omega * 4.5209084837249896e-30) + 0.9999999999999998) * omega"
10,7.814665915391315e-8,"(omega + T) * log((4.5209084837249896e-30 * omega) + 0.9999999999999998)"
11,1.3514325292949904e-8,"((6.588839606540396e-28 * omega) / (4.987781105714652e8 / omega)) / (1.651246831190433e8 / omega)"
15,1.723998393669705e-11,"((omega * -4.9347881381199036e-14) * ((-5.4170657923182435e-14 / (1.21356994255945e8 / omega)) + 2.2288587009216972e-8)) / (2.4784805513883014e9 / omega)"
17,1.7111085582311498e-11,"(((omega * -2.6560841159524682e-14) / (2.2940290215514755e9 / omega)) + 5.742875420676932) * ((-8.267745534480871e-14 / (1.0771477272599705e8 / omega)) + 3.830351646720171e-8)"
18,1.6583283997418613e-11,"((-8.267753646504067e-14 / (1.0771477272599705e8 / omega)) + 3.830351646720171e-8) * (((omega * -2.6561070252051642e-14) / (2.2940290215514755e9 / omega)) + log(omega))"
20,1.658096145121529e-11,"((-8.267753695454225e-14 / (1.0771477272599705e8 / omega)) + 3.830351646720171e-8) * (log(omega / 0.39278227758992146) + ((omega * -2.6561070252051642e-14) / (2.2940290215514755e9 / omega)))"
