Complexity,Loss,Equation
1,0.03329763340350677,"0.03700162801626989"
3,0.004532040660556276,"T * 1.698194106506779e-6"
5,0.0003112477564219637,"(T * 3.939199214152366e-12) * T"
7,5.054676781311575e-6,"((T * T) * 8.004094967119327e-18) * T"
9,3.84687096929207e-6,"(T * T) * ((T * 7.53426913096836e-18) - -2.3342284845086273e-13)"
10,8.599390136632664e-7,"T * (((T * 6.757196276654024e-15) + -5.499604527363465e-10) * sqrt(T))"
12,3.742343163937475e-7,"T * (((sqrt(T) * -4.335485849509905e-9) + (T * 9.20767999513943e-12)) + 4.618123786484734e-7)"
14,3.2142019568843793e-7,"((((sqrt(T) * -4.408383885747435e-9) + 4.828007088128701e-7) + (T * 9.269894487293311e-12)) * T) + -0.0002656342184111342"
15,2.6639367934387923e-7,"(log(omega) * (((T * 2.328026511551881e-13) + (sqrt(T) * -1.0859391953544805e-10)) + 1.1455471606608072e-8)) * T"
17,1.9587950873201913e-7,"(((sqrt(T) * -5.39165646471958e-9) + (T * 1.0034564666255094e-11)) + (log(T * omega) * 1.5213440423034796e-8)) * T"
19,1.9564138533223255e-7,"(((1.0034558419121762e-11 * T) + (-5.391648925155508e-9 * sqrt(T))) + (log((T * omega) + T) * 1.521339758999617e-8)) * T"
20,1.95504587115081e-7,"((1.0034558419121762e-11 * T) + ((-5.391648925155508e-9 * sqrt(T)) + (log(T * (omega + log(T))) * 1.521339758999617e-8))) * T"
