Complexity,Loss,Equation
1,0.014328238645717835,"0.015551408942511016"
3,0.0019051978441204191,"T * 1.6981368357211668e-6"
5,0.00013081427552462377,"(T * 3.939199214851498e-12) * T"
7,5.7075329111196654e-8,"(T - 148667.30831582512) * (omega * 2.846352063045622e-23)"
9,5.5048114431794084e-8,"(((T - 148686.2977169959) * 2.846352063045622e-23) * omega) - -4.5612399188019326e-5"
11,5.491586619971225e-8,"(omega * ((T - 148674.9070160117) * 2.846352063045622e-23)) - (-7.026019466616403e-10 * T)"
12,3.397522598923822e-8,"(((T - 148674.90701600924) * 2.841923160387801e-23) * omega) - (sqrt(T) * -2.099626058309569e-6)"
14,1.4059162836016547e-8,"(T - 131051.42652341965) * ((omega / (1.6555378703967703 - (sqrt(T) * 0.0010217900567677564))) * 2.5288821365447925e-23)"
16,1.3407196305585733e-8,"(((2.5288821365447925e-23 / (1.6555374484104972 - (sqrt(T) * 0.0010217414077992267))) * omega) * (T - 131051.42652341965)) + 2.5726901727648816e-5"
18,1.3391484560671974e-8,"(((2.5288821365447925e-23 / (1.6555374484104972 - (0.0010217414077992267 * sqrt(T)))) * ((1.6555374484104972 + T) - 131051.42652341965)) * omega) + 2.5726901727648816e-5"
