Complexity,Loss,Equation
1,0.011945339855890894,"0.012928279672456303"
3,0.0015838667444565998,"T * 1.6981323885658261e-6"
5,0.00010874921701486704,"T * (T * 3.939199213898443e-12)"
7,5.808085067628251e-7,"(T * T) * (omega * 3.998145645549961e-29)"
9,4.741087122974503e-8,"(omega * -2.0372276797682836e-9) * ((T * -1.3969657239340395e-14) - -2.0762373323553e-9)"
10,9.526592618854031e-11,"sqrt(omega) * ((omega * 8.363106227399021e-32) * (T - 121878.1342849014))"
11,3.895502018119532e-13,"omega * (((T * -3.752173800703525e-18) - -2.8575359500790303e-13) * (omega * -6.287988850054406e-23))"
13,3.895501842624439e-13,"omega * ((-6.287988850054406e-23 * ((-3.752173800703525e-18 * T) - -2.8575359500790303e-13)) * (omega + T))"
15,3.895501842624438e-13,"omega * (((T * -3.752173800703525e-18) - -2.8575359500790303e-13) * ((omega - (-3.752173800703525e-18 - T)) * -6.287988850054406e-23))"
19,3.8512073796482406e-13,"((omega * (((T - (T / omega)) * 3.4765415762773396e-16) - 2.6476464356498458e-11)) * 6.786534515153519e-25) * (omega + log(log(T)))"
