Complexity,Loss,Equation
1,0.08954503199103736,"0.10252599809663894"
3,0.02143334815112735,"omega * 7.767805232856715e-12"
5,0.004959766823110645,"omega * (9.453010012909509e-23 * omega)"
7,0.001013651118530024,"(omega * (omega * omega)) * 9.874866121610716e-34"
9,0.00025236222233279465,"(((omega * 2.128656455782969e-33) - 1.1273401612788889e-22) * omega) * omega"
11,3.901642179764451e-5,"(omega * 8.776132090733232e-11) * (omega * ((omega * 2.014982884116236e-23) - 8.760810395939391e-13))"
13,6.767435859168196e-6,"(omega * (omega * (omega * 8.055373350966037e-24))) * (1.018314612466538e-9 - (8.941843997730389e-7 / T))"
15,6.58215554338735e-8,"(omega * 1.1424526194684996e-23) * (omega * (4.825490307755861 + ((1.1115490791698076e-9 - (1.0722730660036806e-6 / T)) * omega)))"
17,6.07073024109435e-9,"omega * (((omega * 1.134119810762599e-23) * ((omega * (1.1965604502209188e-9 - (1.1694265437335276e-6 / T))) + 6.230011653861102)) + -1.4289299532068704e-13)"
19,6.070730204914396e-9,"omega * (((6.230011653861102 + ((omega + T) * (1.1965604502209188e-9 - (1.1694265437335276e-6 / T)))) * (omega * 1.134119810762599e-23)) + -1.4289299532068704e-13)"
20,6.0706496574868384e-9,"((((((1.1965644467333898e-9 - (1.1694304161754984e-6 / T)) * (omega - sqrt(omega))) + 6.230011654988074) * omega) * 1.134119810762599e-23) + -1.4289733841199503e-13) * omega"
