Complexity,Loss,Equation
1,0.04737701196185908,"0.05332904023712845"
3,0.007948098795446683,"omega * 8.18250429492184e-14"
5,0.0025842393744875793,"(T * 6.227341144813664e-17) * omega"
7,0.00017860193538070097,"(omega * 9.787770244250377e-40) * (omega * omega)"
9,3.611624538762262e-6,"(T * 6.662431062540568e-43) * (omega * (omega * omega))"
11,4.046012258910171e-9,"omega * ((omega * (omega * 7.828869304688804e-43)) * (T - 222.62206811107566))"
13,3.804575839574454e-9,"((omega * T) * ((omega * 1.2421619489874618e-46) * (T + 3866.860310969134))) * omega"
15,2.9275584098939376e-9,"((omega * omega) * (T + (T + 7532.8565569688935))) * ((6.329410782447848e-47 * omega) * T)"
17,2.7797021493931332e-9,"(((((T + T) * omega) * 6.329410782447848e-47) * omega) * (omega * (T + 3766.5004862157593))) - 1.2524856903367576e-5"
19,2.7796965620885787e-9,"((omega * ((omega * ((omega * 6.329410782447848e-47) * (T + 3766.500536269634))) * (T + T))) - 1.2506928699514775e-5) * 0.9999996574058542"
20,2.779683904576133e-9,"(((omega * ((T + T) * omega)) * 6.329410782447848e-47) * ((sqrt(omega) + omega) * (T + 3766.4993112067277))) - 1.2530175823385032e-5"
