Complexity,Loss,Equation
1,0.023821311215014202,"0.026014166097653335"
3,0.0038771505160713577,"omega * 8.182492743653372e-14"
5,0.000775438395785389,"omega * (omega * 9.567245778512072e-27)"
7,3.9782016127310844e-5,"(omega * 1.398571874849947e-16) * (T + -786.7534173513332)"
9,3.7552402696508256e-5,"((omega * 1.402134865708077e-16) + -4.66577147524183e-6) * (T + -786.1304158877674)"
11,6.490692969725533e-8,"(omega * -5.02389786436007e-16) / (((1.9367434284007697e11 / omega) / -0.590937865433279) + 0.02775016507436984)"
13,2.1631605225372674e-9,"(omega * (omega * -1.0670532361618422e-28)) / (((1.785931309786888e11 / omega) / -0.6064224382615704) + 0.018779748669776154)"
15,2.163160517050778e-9,"omega * (((omega - T) * -1.0670532361618422e-28) / (((1.785931309786888e11 / omega) / -0.6064224382615688) + 0.018779748669744262))"
16,2.1631463721994766e-9,"(omega - sqrt(omega)) * ((omega * -1.0670532361618422e-28) / (0.018779752744510648 + ((1.785931309786888e11 / omega) / -0.6064224527119574)))"
18,2.1631323397875228e-9,"((omega - sqrt(omega / 0.18046820346521114)) * (omega * -1.0670532361618422e-28)) / (0.018779752744510648 + ((1.785931309786888e11 / omega) / -0.6064224527119574))"
19,2.163128184917479e-9,"((omega - sqrt(omega * log(T))) * -1.0670532361618422e-28) * (omega / (((1.785931309786888e11 / omega) / -0.6064224872558654) + 0.018779753668999664))"
