Complexity,Loss,Equation
1,0.05862134522206419,"0.37571280107593247"
3,0.04264875529405022,"omega * 7.978012783229232e-14"
5,0.016833938239454827,"omega * (1.7823774549136222e-11 / T)"
6,0.009831232701667957,"sqrt(omega / T) * 3.412709029311638e-6"
7,0.0034019628747756245,"(omega * (1.3349158598815796e-11 / T)) - -0.1579943811051658"
8,0.0018568865297398807,"sqrt(2.5788307888695757e-9 * ((omega / T) / T))"
9,0.00018205367381324684,"(omega * ((1.9891155215558032e-9 / T) / T)) - -0.2098477421045594"
11,0.00015491460978806583,"(((omega * (1.971444263305053e-9 / T)) + 2.2599093361989744) / T) - -0.2010508025607306"
12,3.176709157212122e-5,"((((omega * 1.5920954673635124e-10) / T) + 1.4215319669343747) / sqrt(T)) + 0.1014104358038352"
14,2.8113763826390375e-5,"((((omega * 1.5670938288643072e-10) / T) + 1.3295538757458603) / sqrt(T - 4.970102312174987)) + 0.1065884390957172"
16,1.9442896001536957e-5,"((((omega * 1.4669750363986542e-10) / T) + (T / T)) / sqrt(T - 23.942650018609164)) + 0.12597487493023854"
18,1.9272764629610917e-5,"0.12597487493023854 + ((((omega * 1.4669750363986542e-10) / T) + ((T + -1.3488240027758323) / T)) / sqrt(T - 23.942650018609164))"
19,8.798079189804522e-6,"((((omega * (-1.8736139794868322e-7 / T)) / T) + (((omega * 3.193271204939459e-9) / T) + 9.425437487521751)) / T) + 0.15924426873942107"
