Complexity,Loss,Equation
1,0.03805068133178169,"0.3015655928780904"
4,0.02734529951647078,"sqrt(29.784990146237604 / T)"
5,0.014206870054029506,"(omega / T) * 1.8632641617316368e-11"
6,0.0021931797202673856,"sqrt(omega) * (5.0106064415392804e-5 / T)"
8,0.0009713752151949288,"((sqrt(omega) / T) + T) * 4.833975364857109e-5"
10,0.0008877641114341382,"(((sqrt(omega) / T) + T) * 4.651702280718556e-5) - -0.016329523425401633"
12,0.0006853700528344269,"sqrt(omega) * ((4.6794970570506193e-5 / T) + (T / (omega * 0.0059824379199993035)))"
13,0.0006853700528344266,"(T / (sqrt(omega) * 0.0059824379199993035)) + (sqrt(omega) * (4.6794970570506193e-5 / T))"
14,0.000221880626808548,"(sqrt(omega) * (((468.9555654854183 / omega) * T) + (5.431012322801765e-5 / T))) + -0.12068355198955813"
16,0.0002216862823991644,"(((((T + 1.3330675588062426) * 468.9598417652041) / omega) + (5.432496863010007e-5 / T)) * sqrt(omega)) + -0.1211950511595153"
17,0.00022166593048069142,"-0.12104582746956007 + (((5.431037191588996e-5 / T) + ((468.9555737913751 * (T + exp(0.49732225341882014))) / omega)) * sqrt(omega))"
18,0.00022162906293091386,"(sqrt(omega) * (((5.287952938054161e-5 / T) + (((T + 1.7405232784319034) / 0.002184907100165412) / omega)) * 1.0277555204788367)) + -0.12176431488686437"
19,0.00022161709486608096,"(sqrt(omega) * (((5.287952938054161e-5 / T) + (((T + exp(0.622245737542044)) / 0.002184907100165412) / omega)) * 1.0277555204788367)) + -0.12176431488686437"
20,0.00022160707049243594,"(sqrt(omega) * (((5.287952938054161e-5 / T) + (((T + sqrt(exp(1.8082301627031856))) / 0.002184907100165412) / omega)) * 1.0277555204788367)) + -0.12176431488686437"
