Complexity,Loss,Equation
1,0.0269624030763674,"0.2869896220826497"
4,0.01913681216613904,"5.2702004862964085 / sqrt(T)"
5,0.01313086005818509,"omega / (T / 1.964884181791152e-11)"
6,0.0019028924502263371,"sqrt(omega) / (T / 5.035463856481002e-5)"
8,0.0010266415439327279,"(sqrt(omega) / (T / 4.3727559285392247e-5)) - -0.05231524077232166"
10,0.0010054387377250206,"sqrt(omega) * (((4.806962670428398e-6 / T) / 0.10955773774524236) - -2.5674305135956904e-8)"
12,0.0009981959991283084,"((sqrt(omega) + -12120.156805052597) * ((5.322552564115441e-6 / T) / 0.12111619199512595)) - -0.052873363586655495"
13,1.6708976606125064e-5,"log((5.587566747173746 / sqrt(sqrt(sqrt(omega) / T))) + -0.46759728656681165) / -6.092358161997389"
15,1.6708920662870132e-5,"log((5.5875339590746265 / sqrt(sqrt((sqrt(omega) / T) - -0.030186062461973955))) + -0.4675954790728047) / -6.0927573285331755"
17,1.670444825434903e-5,"(log((5.579599188565058 / sqrt(sqrt(sqrt(omega) / T))) + -0.4669400732233838) / -6.0967800903957095) - (0.01497603498448995 / T)"
18,1.659188867932411e-5,"(log((5.575657555278281 / sqrt(sqrt(sqrt(omega) / T))) + -0.46660136337493174) / -6.090868800243674) - (0.00864020135019851 / sqrt(T))"
19,1.6221327637480463e-5,"(log((5.558789667173312 / sqrt(sqrt(sqrt(omega) / T))) + -0.46514022529125987) / -6.0680180297859705) - (2.35808537091071 / sqrt(sqrt(omega)))"
