Complexity,Loss,Equation
1,0.05060465452716277,"0.10672111370916955"
3,0.038728407521532004,"omega * 1.9920433763058087e-15"
4,0.038692287447660755,"sqrt(omega) * 2.496188054963538e-8"
5,0.018603547283818748,"1.6611487275662698e-12 / (T / omega)"
7,0.006842610556766067,"(omega * (8.842534409673955e-10 / T)) / T"
9,0.0014598121984905666,"1.1555282963551418e-13 / (((T * 0.5668995731576778) / omega) + -1.3963864556349052e-12)"
11,0.0005647379639969708,"(1.1168832112297459e-13 / (((T * 0.5668995731576716) / omega) + -1.3969981068871126e-12)) + 0.022819198092842254"
13,0.000246797584896602,"((2.2645197540865363e-11 / T) / (((T * 0.10814026377263242) / omega) + -2.2965143112382053e-13)) - -0.02117834604250323"
15,0.00024272749291391014,"((2.2645197540865363e-11 / T) / ((((-1.7321591517641723 + T) * 0.10814026377263242) / omega) + -2.2965143112382053e-13)) - -0.020130860464600525"
17,0.0002217727495416674,"(((0.12325833349334697 / omega) + (2.2645197540865363e-11 / T)) / ((T * (0.10814026377263242 / omega)) + -2.2965143112382053e-13)) - -0.020130860464600525"
19,0.00022177274954075554,"(((0.12325833349334697 / omega) + (2.2645197540865363e-11 / T)) / ((T * (0.10814026377263242 / (omega + T))) + -2.2965143112382053e-13)) - -0.020130860464600525"
20,0.00021947606197943563,"(((0.12325833349334697 / omega) + (2.2501195294309416e-11 / T)) / ((T * (0.10814026377263242 / (omega + sqrt(T)))) + -2.2965143112241e-13)) - -0.020130860464600525"
