Complexity,Loss,Equation
1,0.042295417984981376,"0.08903336726035323"
3,0.03138819116168032,"omega * 1.992047384401347e-15"
4,0.03131061724948246,"sqrt(omega * 6.066924796501016e-16)"
5,0.015096501381041169,"omega * (1.6611537199876118e-12 / T)"
7,0.005575510451937341,"(omega * (8.842578246013203e-10 / T)) / T"
9,0.0026204041896579515,"omega * ((0.000301165711979012 - (0.27924749631227785 / T)) * -1.5569467042661924e-11)"
11,0.0014337970287834432,"((omega * ((2.7816835418053194e-21 / T) * omega)) / T) / T"
12,0.0013391505101953487,"((omega * ((sqrt(omega) * 3.3523327096631794e-14) / T)) / T) / T"
13,0.0008761315121758702,"((((omega * omega) / T) / T) / T) * (1.1379034902317827e-18 / T)"
14,0.0008684852178696777,"((((omega / (sqrt(T) * T)) * 5.672464341477255e-20) / T) * omega) / T"
15,0.00024311482377676352,"(((((omega * (omega / T)) / T) / T) * 1.0985168936897296e-18) / T) - -0.026308511035301574"
17,0.0002380990422164001,"(omega * (((((omega / T) / (T + 2.470526120735662)) / T) * 1.1050620333682422e-18) / T)) - -0.02635601165172734"
19,0.00023577030115352286,"((((omega * (((omega / T) * -2.2225061719642754e-19) / (T + 3.707822159437089))) / T) / T) - 0.005266852055584753) / -0.20018037846387887"
20,0.00020841222165469752,"((omega * ((((sqrt(T) * 5.967077724071441e-20) / T) * ((omega / T) / T)) + -2.2018330719097199e-13)) / T) - -0.031198666786833654"
