Complexity,Loss,Equation
1,0.03734297698433567,"0.08222617735774983"
3,0.027589620474003877,"omega * 1.9934631465964668e-15"
5,0.013303668696472275,"omega / (T / 1.662574488801475e-12)"
7,0.0023749971420705773,"omega * ((4.349042908102116e-12 / T) - 4.6883943111682325e-15)"
9,0.00233303570327382,"(omega * ((4.331117025807643e-12 / T) - 4.717261174536589e-15)) - -0.007457422168486257"
11,0.0014101442647004847,"((((omega * omega) / T) * 2.7813874547720806e-21) / T) / T"
13,0.0009061672202178663,"((omega / T) / ((T * T) / (omega / T))) * 1.1380933134496195e-18"
15,0.00022279935959221387,"(((omega / T) * 1.097258866206015e-18) / ((T * T) / (omega / T))) + 0.02718525539613395"
17,0.00022056808209735447,"(((omega / (1.8732773006423744 + T)) * 1.0971388358319219e-18) / (T * (T / (omega / T)))) + 0.027185255397155772"
18,0.0002157152617862605,"(((omega / (T + log(T))) * 1.1139742349163827e-18) / (T * (T / (omega / T)))) + 0.027186877271729092"
