Complexity,Loss,Equation
1,0.03336677667994402,"0.07829362868980269"
3,0.024691272777812204,"omega * 1.9993387716569484e-15"
4,0.024660895891181304,"sqrt(4.1021155224495706e-16 * omega)"
5,0.011879386876510455,"omega * (1.662848223039548e-12 / T)"
7,0.004667799526188299,"((omega * 8.707547071583996e-10) / T) / T"
9,0.00414904195449945,"(((1.1487030710955707e-9 / T) - 6.381555756740703e-13) / T) * omega"
11,0.0014447040351132814,"(omega / T) * ((omega * (2.7849872254026863e-21 / T)) / T)"
13,0.0008901099895489049,"(((((2.687970501040346e-21 / T) / T) * omega) * omega) / T) - -0.024082630918884344"
14,0.0008431903845409115,"((((omega / T) * (omega * 2.7292156125092038e-21)) / T) + log(T)) / T"
15,0.0008229626578277349,"(((((omega * 2.7222995484943397e-21) / T) * (omega / T)) + 2.237832347023214) / T) - -0.017359676980561425"
16,0.0007749697766882461,"(((2.4785929094941136e-21 / (T - log(omega))) * omega) * ((omega / T) / T)) - -0.02467527095279642"
17,0.0005341047111441373,"((((omega * (omega * ((1.2074306229696814e-16 / T) / T))) / T) / 107.59921992034597) - -4.127892617065865) / T"
18,0.00018453029408337532,"(((((omega * (1.8321254434202031e-19 / T)) * omega) / T) / (T / log(T))) / T) - -0.027792440207379983"
20,0.0001841556531096222,"((((((omega / T) * 1.8360222441196275e-19) / (T / log(T))) / (T + 1.855105896275788)) * omega) / T) - -0.027854139377378934"
