Complexity,Loss,Equation
1,0.016671247237614543,"0.05628253614271379"
3,0.013387586066340067,"omega * 1.6908571115153724e-15"
4,0.01298457353888164,"sqrt(omega) * 1.8808546580563136e-8"
5,0.006634603539459719,"(omega * 1.5749418424750107e-12) / T"
7,0.003545722020071001,"(omega * (7.682748588958175e-10 / T)) / T"
9,0.0027333910933761267,"((omega * 1.0585460438153523e-9) / T) / (T - -107.11543738661365)"
11,0.0013406186863592245,"(((2.804878124595187e-21 / T) * (omega / T)) * omega) / T"
13,0.0006015306639970302,"(((omega / T) * ((omega * 2.6795253412580214e-21) / T)) / T) + 0.02785620980538558"
15,0.0003838664097059948,"0.027898630680011784 + (((2.1911411030300724e-21 * (omega * (omega / (-70.63901087751213 + T)))) / T) / T)"
17,0.00038071045393077245,"(((omega - 0.16455457752195915) * ((omega / (T + -70.63900776894103)) / T)) * (2.1911411030300717e-21 / T)) + 0.02612213449555364"
