Complexity,Loss,Equation
1,0.09945769403583514,"0.4118263437230136"
3,0.031168416991027806,"T * 0.0015434163857550988"
4,0.01508858060375395,"sqrt(omega) * 2.96836753867311e-7"
5,0.008834740481435906,"sqrt(sqrt(omega)) * 0.00047008794636512613"
6,0.007613970920042125,"(sqrt(omega) * 2.4780334949151644e-7) - -0.12001907378355775"
7,0.0043238980399695525,"sqrt(sqrt(omega) / T) * 0.00965974636282164"
8,0.0020604457950438625,"((0.00010434748349583664 / T) * sqrt(omega)) - -0.11577880299879116"
9,0.0004071426825868235,"sqrt(((sqrt(omega) / T) * 9.169681845864863e-5) + 0.008708845984681262)"
16,0.0002836716058671492,"((sqrt(sqrt(omega)) * 0.005819122906306652) / (sqrt(T) - sqrt(sqrt(sqrt(sqrt(omega)))))) + 0.087961154214238"
18,0.0002576539241727866,"((sqrt(T + sqrt(omega)) / (sqrt(T) - sqrt(sqrt(sqrt(sqrt(omega)))))) * 0.0058906936926236995) + 0.08013668804477544"
19,0.00010863967841339336,"((sqrt(sqrt(omega)) * 0.005819122906306652) / (sqrt(T) - sqrt(sqrt(sqrt(omega * T)) * 0.005819122906306652))) + 0.087961154214238"
