Complexity,Loss,Equation
1,0.07575564395700136,"0.456035069769755"
3,0.06856275604598107,"T * 0.0012633515998913165"
4,0.0267786542951073,"log(T) * 0.10019044842779597"
5,0.015820310611636797,"sqrt(sqrt(omega)) * 0.000480758669805785"
6,0.01261444025153337,"sqrt(sqrt(sqrt(omega))) * 0.017703044501764405"
7,0.004761716551450189,"exp((T / sqrt(omega)) * -1838.7550147382226)"
9,0.0014250238063582637,"exp((T / sqrt(omega)) * -2531.891848145859) + 0.09976538917542355"
11,0.0014082736139871207,"(exp((T / sqrt(omega)) * -2546.1307968307633) * 1.0155729572220324) + 0.0954588099834093"
13,0.0012697197599189519,"(exp((T + -3247.4577097584356) * (T / sqrt(omega))) * 1.078821160115) + 0.09753538037590595"
15,0.0012693354637632842,"exp((((T + -3247.4576806687774) * (T / sqrt(omega))) + 0.07319223664674236) * 0.9937126840617716) + 0.09712824090113262"
17,0.0012690046847744212,"(exp(((T * (-3247.4577117663957 + T)) + 0.10504494944681933) / (T + sqrt(omega))) + 0.09040249365123146) * 1.0786341136681095"
18,0.001269002659853655,"(exp((exp(0.10504494944681933) + ((-3247.4577117663957 + T) * T)) / (T + sqrt(omega))) + 0.09040249365123146) * 1.0786341136681095"
