Complexity,Loss,Equation
1,0.05538468092068294,"0.47329795386727663"
4,0.01811134414375608,"log(omega) * 0.019889717752337846"
6,0.015134902729888645,"0.11230785619652263 - (log(omega) * -0.01606997439927276)"
7,0.003908603411717902,"exp((T / sqrt(omega)) / -0.00040251770289669183)"
9,0.0021050130287392156,"exp((T / sqrt(omega)) / -0.00030119577084430075) + 0.09339933843288133"
11,0.002084547558382308,"exp(((T / sqrt(omega)) / -0.0002898202839022361) + 0.03032682239749496) + 0.09209934795968108"
14,0.001693387141924359,"((-0.04817715317181447 / sqrt(omega)) + exp((T / sqrt(omega)) / -0.00019497018082673196)) + 0.2397392450078285"
15,0.0007293051483660641,"(-0.46105261757473415 / (omega + 1.5755871132861077)) + (exp((T / sqrt(omega)) / -0.00013946727693851696) + 0.35043809762008843)"
17,0.0007291554807748654,"(-0.46105261757473415 / (omega + 1.5755871132861077)) + (0.35043809762008843 + exp(((-0.011483939084526613 + T) / sqrt(omega)) / -0.00013946727693851696))"
19,0.0007291554807747356,"(-0.46105261757473415 / (omega + 1.5755871132861077)) + (0.35043809762008843 + exp(((-0.011483939084526613 + T) / sqrt(omega - -0.5962830067514285)) / -0.00013946727693851696))"
