Complexity,Loss,Equation
1,0.05021319256068362,"0.46574735837273934"
4,0.0195263482823463,"log(omega) * 0.01914263513503605"
6,0.013398202543250574,"sqrt(sqrt(sqrt(omega))) * 0.01529590392163001"
8,0.011043832616497998,"sqrt(exp((T / -0.00016739899028079134) / sqrt(omega)))"
9,0.0024362904569837176,"sqrt(-0.026374675078380417 / (T * (-375.2598075996534 / sqrt(omega))))"
10,0.0018462000173126063,"(-0.00626122160110617 / ((T / sqrt(omega)) * -79.92528557546898)) - -0.1707149949191307"
11,0.0010960859249353355,"sqrt((-0.04889695146347115 / (T * (-722.9394603037878 / sqrt(omega)))) - -0.01131091340436782)"
12,0.0006954726195222904,"sqrt(sqrt(-0.009974681948961357 / (((T / sqrt(omega)) * -794.3071207787438) - -0.062964717881166)))"
13,0.0001594249017673772,"sqrt(-0.015887243002813498 / ((T * (-459.3965328204375 / sqrt(omega))) + 0.021197004321294)) - -0.10073978752760158"
15,0.0001593955936581597,"sqrt(-0.015845148804685887 / (((T + 0.06839849145595779) * (-458.15419937791324 / sqrt(omega))) + 0.021153154832823172)) - -0.10075395117112639"
17,0.00015939099488479922,"sqrt(-0.015845148804685887 / ((((T + 0.06839849145595779) + 0.06839849145595779) * (-458.15419937791324 / sqrt(omega))) + 0.021153154832823172)) - -0.10075395117112639"
18,0.00015403110107843428,"sqrt(-0.015845148804685887 / (((T + exp(T - omega)) * (-458.15419937791324 / sqrt(omega))) + 0.021153154832823172)) - -0.10075395117112639"
