Complexity,Loss,Equation
1,0.04747821180098952,"0.05022667950873934"
3,0.0023205672068270277,"omega * 1.9055296080742138e-13"
5,6.836193976828448e-5,"(T * 3.9939081386967733e-14) * T"
7,7.110861708747418e-7,"((omega * omega) * omega) * 7.999757615816544e-39"
9,3.6787368967447514e-7,"((omega * omega) * omega) * (omega * 1.5999835303959946e-51)"
10,2.722148813472376e-8,"(omega * sqrt(omega)) * (omega * (omega * 3.5777180260282174e-45))"
12,2.395352361637312e-8,"((omega * ((3.5777180260282174e-45 * omega) * omega)) + 9.901511185737738e-11) * sqrt(omega)"
14,2.2976505294897e-8,"((((omega * omega) * omega) * 3.5777180260282174e-45) + 1.1443243790137185e-10) * (sqrt(omega) + -102.34158789065489)"
16,3.2466894495694086e-9,"((T * (omega * -1.7314084327142085e-14)) + sqrt(omega)) * (((omega * omega) * omega) * 4.4373421397518936e-45)"
18,4.725013385239615e-10,"(((omega * -1.8353171244830185e-14) * T) + sqrt(omega)) * ((omega * ((omega * omega) * 4.50249596382834e-45)) - 1.4137067050431285e-10)"
