Complexity,Loss,Equation
1,0.0899977793590947,"0.10001110875686797"
3,0.0009978266584831056,"T * 9.9001074907775e-9"
5,9.779105473258307e-6,"(T * T) * 9.999011104516681e-17"
7,7.901877143844615e-8,"((T * omega) * 9.999991127646268e-32) * T"
9,7.111510912245272e-8,"(T * ((omega * 9.999991127646268e-32) * T)) + -8.890254392301955e-5"
10,9.712903993001326e-9,"(T * T) * ((-4.567701841607677e-13 / sqrt(T)) + 1.4567701072587705e-16)"
11,1.226529396884517e-11,"(-21.384446494348936 - T) * (omega * ((T * -9.999997872630674e-40) * T))"
13,1.099223492414812e-11,"(T * (((omega * -9.999997872630674e-40) * T) * (1.8754875092171963 - T))) + 1.1260991232830975e-6"
14,1.0943659718291173e-11,"((log(omega) - T) * (T * ((T * -9.999997872630674e-40) * omega))) + 1.1636030896410448e-6"
15,1.0902441049366313e-11,"((omega - (T * ((T * T) / -2.8308804626899313))) * (2.8308769544139266e-32 * T)) + 1.2307244438076537e-6"
17,1.2265763295973966e-13,"(T * 1.0975380163548206e-12) + ((omega - (T * ((T * T) / -2.8311876960974542))) * (T * 2.8308769544139266e-32))"
19,1.2265614994202097e-13,"((T - 5.790943708842206) * 1.0975380331051263e-12) + ((omega - (((T * T) * T) / -2.8311876960974542)) * (T * 2.8308769544139266e-32))"
