Complexity,Loss,Equation
1,0.04986088100623396,"0.0526374257591514"
3,0.000525187557319191,"T * 9.900104520759207e-9"
5,5.146897620834538e-6,"(T * T) * 9.999011105806897e-17"
7,4.860256223899552e-6,"((omega * T) * 1.0004569879761656e-23) - 0.0005503703078945099"
9,1.9908166829461477e-9,"exp(log((T * T) * 9.999011049893694e-17) / 0.5283765253879188)"
10,1.970379322726643e-9,"exp(log(9.999011049893694e-17 * (T * T)) / sqrt(0.2759043509886101))"
11,1.884666344222613e-9,"exp(log(T * (9.999011049893694e-17 * T)) / (T * 6.455009603694154e-9))"
12,7.739902567809105e-10,"sqrt(exp(log(T * (T * 9.999011049893694e-17)) / (T * 1.0161278823560156e-8)))"
13,5.477647696788983e-10,"sqrt(sqrt(exp(log(T * (9.999011049893694e-17 * T)) / (T * 1.0161278823560156e-8))))"
14,2.0379474061531324e-11,"sqrt(sqrt(sqrt(exp(log((T * 9.999011049893694e-17) * T) / (T * 6.310558607806087e-9)))))"
16,2.0622776637678e-12,"sqrt(sqrt(sqrt(exp(log((T * 9.999011049893694e-17) * T) / (T * 6.310558607806087e-9))))) * 1.0000136114610363"
17,1.705697096747833e-13,"sqrt(sqrt(sqrt(exp(log((T * 9.999011049893694e-17) * (T + sqrt(T))) / (T * 6.310558607806087e-9)))))"
