Complexity,Loss,Equation
1,0.08907820075976627,"0.1065056494178937"
3,0.01599338590443037,"omega * 8.177236803023067e-14"
5,0.003232946973930193,"(T * 9.56360690107577e-13) * T"
7,0.0003553110155572937,"(omega * (9.926064798309978e-40 * omega)) * omega"
9,5.905313375988611e-7,"((omega * omega) * 1.000151583332954e-52) * (omega * omega)"
11,5.011128947719977e-7,"omega * (((omega * (1.000151583332954e-52 * omega)) * omega) - -8.415420271697948e-17)"
13,3.50922933633303e-8,"((((omega * omega) * (omega * 1.78900838218248)) * 5.560520337708063e-53) - -5.227399822695026e-16) * omega"
15,2.8051469172862264e-8,"(omega * ((((omega * 1.0444685363675073e-52) * (omega * omega)) - -5.782089436895002e-16) * 0.9522544690045417)) - 9.854374312433856e-5"
17,2.805146909039679e-8,"((omega * ((omega * ((omega - T) * (omega * 1.0444685363675073e-52))) - -5.78202807239962e-16)) * 0.9522546251226189) - 9.853946021966546e-5"
18,2.8051283963316924e-8,"(omega * (((((sqrt(omega) + omega) * (omega * omega)) * 1.0444685363675073e-52) - -5.781813451083947e-16) * 0.9522544433656467)) - 9.852493785980163e-5"
20,2.8051207932877097e-8,"((omega * 0.9522544433656467) * (((omega * (omega * 1.0444685363675073e-52)) * (sqrt(omega + omega) + omega)) - -5.781700358339241e-16)) - 9.852493785980163e-5"
