Complexity,Loss,Equation
1,0.08999999781918264,"0.1000000106520221"
3,0.00019722107965998388,"omega * 1.1089197609509334e-14"
5,3.901398866145502e-7,"omega * (1.2345630839830287e-28 * omega)"
7,3.5124813862132693e-7,"((omega * omega) * 1.2345630839830287e-28) + -0.0001972099084453352"
9,7.528648541178079e-12,"((1.5241460083336867e-56 * omega) * omega) * (omega * omega)"
11,1.438535754222646e-12,"((omega * (omega * omega)) * (omega + omega)) * 7.620789513670678e-57"
13,1.2946833612171564e-12,"((omega * 7.620789513670678e-57) * (omega * (omega * (omega + omega)))) - 3.7927703339102337e-7"
15,7.568181780829606e-16,"((omega * -0.6629193226463191) + omega) * (((omega * omega) * (omega * 4.522031185764318e-56)) - 2.8424102231049942e-18)"
17,5.834221525143405e-16,"((((omega * (omega * omega)) * 4.522031185764318e-56) - 2.843966236166286e-18) * (omega + (omega * -0.6629193169956855))) + 1.8834381181134142e-8"
19,5.832921352076464e-16,"(((omega * (omega * ((T + omega) * 4.522031185764318e-56))) - 2.843966236166286e-18) * (omega + (omega * -0.6629193169956855))) + 1.8834381181134142e-8"
