Complexity,Loss,Equation
1,0.04748005707138779,"0.05020667997667734"
3,0.002327998043172301,"omega * 1.9053778542079262e-13"
5,0.0004764582623233182,"T * (omega * 1.980188903639615e-17)"
6,0.00041181808077642184,"(omega * 8.867377696144214e-20) * sqrt(omega)"
7,1.1497389756790432e-7,"sqrt(exp((T * 0.0024121224410166018) + -24.121284527490186))"
9,3.5845086661328454e-10,"exp((T * 0.0009501046519442005) + -24.121295547397544) * sqrt(omega)"
11,3.565040541629331e-10,"(2.24064372747854 + sqrt(omega)) * exp((T * 0.0009501046519442005) + -24.121295547397544)"
12,3.409700156355425e-10,"exp((T * 0.0009501046519442005) + -24.121295547397544) * (log(omega) + sqrt(omega))"
14,3.407065886599593e-10,"exp(-24.121295547397544 + (T * 0.0009501046519442005)) * (log(2.423471007222911 * omega) + sqrt(omega))"
15,3.374031822550702e-10,"sqrt((omega * (T + 1.264395396786161)) / T) * exp((T * 0.0009501001973212567) + -24.121295547397548)"
17,3.373890971250197e-10,"sqrt(omega * (((T + 0.8779978534113991) + 0.43314716065445136) / T)) * exp(-24.121295547397548 + (T * 0.0009501001973212567))"
19,3.372276729200548e-10,"sqrt((T + 1.264395396793682) * (T + ((omega + T) / T))) * exp((T * 0.0009500992579152999) + -24.12129539697443)"
